num_client_disc_train_steps, num_server_gen_train_steps,  num_clients_per_round, status, num_rounds, client_batch_size, model_name, optimizer, lr
1 1 1 CEN_CEN 30000 256 adam_v18 adam 0.0002
1 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0002
2 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0002
4 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0002
8 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0002
16 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0002
1 1 8 CEN_FED 30000 32 adam_v18 adam 0.0002
2 1 8 CEN_FED 30000 32 adam_v18 adam 0.0002
4 1 8 CEN_FED 30000 32 adam_v18 adam 0.0002
8 1 8 CEN_FED 30000 32 adam_v18 adam 0.0002
16 1 8 CEN_FED 30000 32 adam_v18 adam 0.0002
1 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0001
2 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0001
4 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0001
8 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0001
16 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0001
1 1 8 CEN_FED 30000 32 adam_v18 adam 0.0001
2 1 8 CEN_FED 30000 32 adam_v18 adam 0.0001
4 1 8 CEN_FED 30000 32 adam_v18 adam 0.0001
8 1 8 CEN_FED 30000 32 adam_v18 adam 0.0001
16 1 8 CEN_FED 30000 32 adam_v18 adam 0.0001
1 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00015
2 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00015
4 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00015
8 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00015
16 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00015
1 1 8 CEN_FED 30000 32 adam_v18 adam 0.00015
2 1 8 CEN_FED 30000 32 adam_v18 adam 0.00015
4 1 8 CEN_FED 30000 32 adam_v18 adam 0.00015
8 1 8 CEN_FED 30000 32 adam_v18 adam 0.00015
16 1 8 CEN_FED 30000 32 adam_v18 adam 0.00015
1 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00025
2 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00025
4 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00025
8 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00025
16 1 8 CEN_FED 30000 32 adam_v18 sgd 0.00025
1 1 8 CEN_FED 30000 32 adam_v18 adam 0.00025
2 1 8 CEN_FED 30000 32 adam_v18 adam 0.00025
4 1 8 CEN_FED 30000 32 adam_v18 adam 0.00025
8 1 8 CEN_FED 30000 32 adam_v18 adam 0.00025
16 1 8 CEN_FED 30000 32 adam_v18 adam 0.00025
1 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0003
2 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0003
4 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0003
8 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0003
16 1 8 CEN_FED 30000 32 adam_v18 sgd 0.0003
1 1 8 CEN_FED 30000 32 adam_v18 adam 0.0003
2 1 8 CEN_FED 30000 32 adam_v18 adam 0.0003
4 1 8 CEN_FED 30000 32 adam_v18 adam 0.0003
8 1 8 CEN_FED 30000 32 adam_v18 adam 0.0003
16 1 8 CEN_FED 30000 32 adam_v18 adam 0.0003
